,awardYear,Persistence,awardLabel,PairID,class,lastPubYear,event,time,area,group
121,2010,9,Shanti Swarup Bhatnagar Prize for Science and Technology,265,Winners,2019,0,9,general,Young
122,1987,21,MacArthur Fellowship,266,Winners,2008,1,21,general,Young
123,1992,28,Fellow of the Royal Society,267,Winners,2020,0,28,general,Young
124,2016,4,Fellow of the Royal Society,268,Winners,2020,0,4,general,Middle
125,1994,26,Shanti Swarup Bhatnagar Prize for Science and Technology,269,Winners,2020,0,26,general,Young
126,2000,12,Fellow of the Royal Society,270,Winners,2012,1,12,general,Senior
127,2010,10,Fellow of the Royal Society,271,Winners,2020,0,10,general,Middle
128,2010,10,Fellow of the Royal Society,272,Winners,2020,0,10,general,Middle
129,1992,26,MacArthur Fellowship,273,Winners,2018,0,26,general,Middle
130,2014,6,Nobel Prize in Physiology or Medicine,274,Winners,2020,0,6,biology,Middle
131,1987,1,MacArthur Fellowship,275,Winners,1988,1,1,general,Senior
132,2007,13,Shanti Swarup Bhatnagar Prize for Science and Technology,276,Winners,2020,0,13,general,Young
133,1999,20,Nobel Prize in Physiology or Medicine,277,Winners,2019,0,20,biology,Senior
134,2000,19,MacArthur Fellowship,278,Winners,2019,0,19,general,Young
135,1998,22,Wolf Prize in Physics,48,Winners,2020,0,22,physics,Senior
136,1990,30,Fellow of the Royal Society,279,Winners,2020,0,30,general,Middle
137,2018,2,Breakthrough Prize in Life Sciences,280,Winners,2020,0,2,biology,Senior
138,2010,10,National Medal of Science,281,Winners,2020,0,10,general,Senior
139,1991,28,Fellow of the Royal Society,282,Winners,2019,0,28,general,Young
140,1983,13,National Medal of Science,283,Winners,1996,1,13,general,Senior
141,2013,7,Nobel Prize in Physiology or Medicine,284,Winners,2020,0,7,biology,Senior
142,2001,18,Shanti Swarup Bhatnagar Prize for Science and Technology,285,Winners,2019,0,18,general,Young
143,2018,2,Fellow of the Royal Society,286,Winners,2020,0,2,general,Senior
144,2015,5,Max Planck Medal,287,Winners,2020,0,5,physics,Middle
145,2004,15,Wolf Prize in Medicine,288,Winners,2019,0,15,biology,Middle
146,1974,39,Nobel Prize in Physiology or Medicine,289,Winners,2013,1,39,biology,Middle
147,1968,38,Nobel Prize in Physiology or Medicine,290,Winners,2006,1,38,biology,Middle
148,2006,14,Shanti Swarup Bhatnagar Prize for Science and Technology,291,Winners,2020,0,14,general,Young
149,1998,21,Wolf Prize in Medicine,292,Winners,2019,0,21,biology,Senior
151,2000,20,Fellow of the Royal Society,294,Winners,2020,0,20,general,Middle
152,2015,0,Vautrin Lud Prize,295,Winners,2015,1,0,geography,Senior
153,2014,6,Wolf Prize in Medicine,296,Winners,2020,0,6,biology,Senior
154,2003,17,Fellow of the Royal Society,297,Winners,2020,0,17,general,Senior
155,2015,4,Wolf Prize in Physics,298,Winners,2019,0,4,physics,Senior
156,1983,36,MacArthur Fellowship,299,Winners,2019,0,36,general,Young
157,1999,13,Fellow of the Royal Society,300,Winners,2012,1,13,general,Middle
158,1996,23,MacArthur Fellowship,301,Winners,2019,0,23,general,Young
159,1999,20,Shanti Swarup Bhatnagar Prize for Science and Technology,302,Winners,2019,0,20,general,Young
160,1965,45,Nobel Prize in Physiology or Medicine,303,Winners,2010,1,45,biology,Middle
161,1998,9,MacArthur Fellowship,304,Winners,2007,1,9,general,NA
162,2015,5,Shanti Swarup Bhatnagar Prize for Science and Technology,305,Winners,2020,0,5,general,Young
163,2013,7,MacArthur Fellowship,49,Winners,2020,0,7,general,Young
164,1972,21,Davy Medal,306,Winners,1993,1,21,chemistry,Middle
165,2001,10,National Medal of Science,307,Winners,2011,1,10,general,Senior
166,2017,3,Nobel Prize in Physics,308,Winners,2020,0,3,physics,Senior
167,2011,9,Shanti Swarup Bhatnagar Prize for Science and Technology,309,Winners,2020,0,9,general,Young
168,1964,30,Fellow of the Royal Society,310,Winners,1994,1,30,general,Middle
169,1995,25,Wolf Prize in Medicine,311,Winners,2020,0,25,biology,Middle
170,1974,42,Fellow of the Royal Society,312,Winners,2016,1,42,general,Middle
171,1987,33,MacArthur Fellowship,313,Winners,2020,0,33,general,Young
172,1971,49,Fellow of the Royal Society,314,Winners,2020,0,49,general,Young
173,2002,18,MacArthur Fellowship,315,Winners,2020,0,18,general,Young
174,1974,41,Fellow of the Royal Society,316,Winners,2015,1,41,general,Young
175,2016,4,Fellow of the Royal Society,317,Winners,2020,0,4,general,Senior
176,1992,10,Fellow of the Royal Society,318,Winners,2002,1,10,general,Young
177,2016,4,Fellow of the Royal Society,319,Winners,2020,0,4,general,Senior
178,2017,3,Fellow of the Royal Society,320,Winners,2020,0,3,general,Middle
179,1994,15,MacArthur Fellowship,321,Winners,2009,1,15,general,Senior
180,2015,4,Fellow of the Royal Society,322,Winners,2019,0,4,general,NA
181,2001,18,Nobel Prize in Physics,323,Winners,2019,0,18,physics,Middle
182,2000,20,Shanti Swarup Bhatnagar Prize for Science and Technology,324,Winners,2020,0,20,general,Young
183,1994,26,Willard Gibbs Award,325,Winners,2020,0,26,chemistry,Senior
184,2005,15,Shanti Swarup Bhatnagar Prize for Science and Technology,326,Winners,2020,0,15,general,Young
185,1996,24,Fellow of the Royal Society,327,Winners,2020,0,24,general,Middle
186,2005,15,Max Planck Medal,328,Winners,2020,0,15,physics,Middle
187,2006,14,Nobel Prize in Physics,329,Winners,2020,0,14,physics,Senior
188,2015,4,Fellow of the Royal Society,330,Winners,2019,0,4,general,Middle
189,1977,33,Fellow of the Royal Society,331,Winners,2010,1,33,general,Middle
190,2004,16,Nobel Prize in Physiology or Medicine,332,Winners,2020,0,16,biology,Middle
191,1990,30,MacArthur Fellowship,333,Winners,2020,0,30,general,Middle
192,2005,14,Fellow of the Royal Society,334,Winners,2019,0,14,general,Middle
193,1996,24,Fellow of the Royal Society,335,Winners,2020,0,24,general,Middle
194,2013,7,Fellow of the Royal Society,336,Winners,2020,0,7,general,Middle
195,2015,5,Fellow of the Royal Society,337,Winners,2020,0,5,general,Middle
196,1970,7,National Medal of Science,338,Winners,1977,1,7,general,Middle
197,2001,7,National Medal of Science,339,Winners,2008,1,7,general,Senior
198,1994,25,Fields Medal,340,Winners,2019,0,25,mathematics,Young
199,1997,16,Shanti Swarup Bhatnagar Prize for Science and Technology,341,Winners,2013,1,16,general,Young
200,1988,32,Fellow of the Royal Society,342,Winners,2020,0,32,general,Middle
201,1986,28,Fellow of the Royal Society,343,Winners,2014,1,28,general,Senior
202,2015,5,Fellow of the Royal Society,344,Winners,2020,0,5,general,Young
203,2009,10,Nobel Prize in Physiology or Medicine,345,Winners,2019,0,10,biology,Middle
204,2005,15,Fellow of the Royal Society,346,Winners,2020,0,15,general,Middle
205,2015,5,Fellow of the Royal Society,347,Winners,2020,0,5,general,Middle
206,1989,27,Fellow of the Royal Society,348,Winners,2016,1,27,general,Young
207,1981,34,Fellow of the Royal Society,349,Winners,2015,1,34,general,Middle
208,2007,11,Shanti Swarup Bhatnagar Prize for Science and Technology,350,Winners,2018,0,11,general,NA
209,2000,17,MacArthur Fellowship,351,Winners,2017,1,17,general,NA
210,2008,10,Fellow of the Royal Society,352,Winners,2018,0,10,general,Young
211,1990,2,National Medal of Science,353,Winners,1992,1,2,general,Senior
212,1984,2,MacArthur Fellowship,354,Winners,1986,1,2,general,Young
213,1953,49,Fellow of the Royal Society,355,Winners,2002,1,49,general,Young
214,2006,14,Fellow of the Royal Society,356,Winners,2020,0,14,general,Middle
215,1986,30,MacArthur Fellowship,357,Winners,2016,1,30,general,Young
216,2017,2,Fellow of the Royal Society,358,Winners,2019,0,2,general,Senior
217,2005,15,Nobel Prize in Chemistry,359,Winners,2020,0,15,chemistry,Senior
218,2004,12,Wolf Prize in Physics,360,Winners,2016,1,12,physics,Senior
219,1993,22,Fellow of the Royal Society,361,Winners,2015,1,22,general,Middle
220,1974,44,Fields Medal,362,Winners,2018,0,44,mathematics,Young
221,2015,5,Fellow of the Royal Society,363,Winners,2020,0,5,general,NA
222,1940,38,Fellow of the Royal Society,364,Winners,1978,1,38,general,Young
223,2012,6,MacArthur Fellowship,365,Winners,2018,0,6,general,Young
224,1986,33,Shanti Swarup Bhatnagar Prize for Science and Technology,366,Winners,2019,0,33,general,Young
225,2001,19,MacArthur Fellowship,367,Winners,2020,0,19,general,NA
226,2004,15,Fellow of the Royal Society,368,Winners,2019,0,15,general,Middle
227,1998,13,Nobel Prize in Physics,369,Winners,2011,1,13,physics,Middle
228,1983,35,Fellow of the Royal Society,370,Winners,2018,0,35,general,Young
229,2012,8,Fellow of the Royal Society,371,Winners,2020,0,8,general,Young
230,1974,39,Shanti Swarup Bhatnagar Prize for Science and Technology,372,Winners,2013,1,39,general,Young
231,2014,4,Fellow of the Royal Society,373,Winners,2018,0,4,general,Young
232,2017,2,Breakthrough Prize in Life Sciences,374,Winners,2019,0,2,biology,Senior
233,2009,9,Fellow of the Royal Society,375,Winners,2018,0,9,general,Senior
234,1994,25,Fellow of the Royal Society,376,Winners,2019,0,25,general,Middle
235,1994,24,Fellow of the Royal Society,377,Winners,2018,0,24,general,Young
236,1982,32,Lasker-DeBakey Clinical Medical Research Award,378,Winners,2014,1,32,biology,Middle
237,1964,38,Nobel Prize in Physics,379,Winners,2002,1,38,physics,Young
238,2007,13,Fellow of the Royal Society,380,Winners,2020,0,13,general,Middle
239,2000,20,MacArthur Fellowship,381,Winners,2020,0,20,general,Young
240,1987,30,Fellow of the Royal Society,382,Winners,2017,1,30,general,Middle
241,1996,24,Shanti Swarup Bhatnagar Prize for Science and Technology,383,Winners,2020,0,24,general,Young
242,1992,15,National Medal of Science,384,Winners,2007,1,15,general,Senior
243,2006,14,MacArthur Fellowship,385,Winners,2020,0,14,general,Young
244,2000,20,Shanti Swarup Bhatnagar Prize for Science and Technology,386,Winners,2020,0,20,general,NA
245,2007,13,Fellow of the Royal Society,387,Winners,2020,0,13,general,Middle
246,1945,62,Copley Medal,388,Winners,2007,1,62,general,Senior
247,2016,4,Shanti Swarup Bhatnagar Prize for Science and Technology,389,Winners,2020,0,4,general,Young
248,1956,40,Lasker-DeBakey Clinical Medical Research Award,390,Winners,1996,1,40,biology,Young
249,2013,5,Breakthrough Prize in Life Sciences,391,Winners,2018,0,5,biology,Senior
250,1958,23,Nobel Prize in Physiology or Medicine,392,Winners,1981,1,23,biology,Middle
251,1979,27,Fellow of the Royal Society,393,Winners,2006,1,27,general,Middle
252,1991,28,Fellow of the Royal Society,394,Winners,2019,0,28,general,Middle
253,2018,2,Fellow of the Royal Society,395,Winners,2020,0,2,general,Senior
254,1986,34,National Medal of Science,396,Winners,2020,0,34,general,Young
255,2008,12,Nobel Prize in Physiology or Medicine,397,Winners,2020,0,12,biology,Senior
256,2009,11,Fellow of the Royal Society,398,Winners,2020,0,11,general,Middle
257,1989,31,Fellow of the Royal Society,399,Winners,2020,0,31,general,Young
258,1993,27,Max Planck Medal,400,Winners,2020,0,27,physics,Middle
259,1993,25,Wolf Prize in Mathematics,401,Winners,2018,0,25,mathematics,Middle
260,1986,33,Nobel Prize in Chemistry,402,Winners,2019,0,33,chemistry,Middle
261,1966,7,Nobel Prize in Physics,403,Winners,1973,1,7,physics,Senior
262,1997,21,Shanti Swarup Bhatnagar Prize for Science and Technology,404,Winners,2018,0,21,general,Young
263,2016,4,Breakthrough Prize in Life Sciences,405,Winners,2020,0,4,biology,Young
264,2004,16,Nobel Prize in Physiology or Medicine,406,Winners,2020,0,16,biology,Middle
265,2010,10,National Medal of Science,407,Winners,2020,0,10,general,Senior
266,1994,17,Fellow of the Royal Society,408,Winners,2011,1,17,general,Young
267,1999,19,Fellow of the Royal Society,409,Winners,2018,0,19,general,Middle
268,2014,6,Fellow of the Royal Society,410,Winners,2020,0,6,general,Middle
269,1989,31,MacArthur Fellowship,411,Winners,2020,0,31,general,Middle
271,2002,6,Lasker-DeBakey Clinical Medical Research Award,413,Winners,2008,1,6,biology,Senior
272,1986,31,Fellow of the Royal Society,414,Winners,2017,1,31,general,Young
273,2016,4,Fellow of the Royal Society,415,Winners,2020,0,4,general,Senior
274,1992,27,MacArthur Fellowship,416,Winners,2019,0,27,general,Young
275,2011,9,Fellow of the Royal Society,417,Winners,2020,0,9,general,Middle
276,2000,20,Shanti Swarup Bhatnagar Prize for Science and Technology,418,Winners,2020,0,20,general,NA
277,2005,3,National Medal of Science,419,Winners,2008,1,3,general,Senior
278,1989,31,Fellow of the Royal Society,420,Winners,2020,0,31,general,Young
279,1996,24,Shanti Swarup Bhatnagar Prize for Science and Technology,421,Winners,2020,0,24,general,Young
280,2015,5,Breakthrough Prize in Life Sciences,422,Winners,2020,0,5,biology,Senior
281,1978,27,Turing Award,423,Winners,2005,1,27,cs,Young
282,1976,42,Hughes Medal,424,Winners,2018,0,42,physics,Young
283,2014,6,Fellow of the Royal Society,425,Winners,2020,0,6,general,Middle
284,2002,8,National Medal of Science,426,Winners,2010,1,8,general,Senior
285,1993,27,MacArthur Fellowship,427,Winners,2020,0,27,general,Middle
286,1956,60,Max Planck Medal,428,Winners,2016,1,60,physics,Middle
287,2009,11,Fellow of the Royal Society,429,Winners,2020,0,11,general,Middle
288,2016,4,Fellow of the Royal Society,430,Winners,2020,0,4,general,NA
289,2009,11,Shanti Swarup Bhatnagar Prize for Science and Technology,431,Winners,2020,0,11,general,Young
290,2008,12,MacArthur Fellowship,432,Winners,2020,0,12,general,Young
291,1988,23,Nobel Prize in Chemistry,433,Winners,2011,1,23,chemistry,Young
292,1998,18,National Medal of Science,434,Winners,2016,1,18,general,Senior
293,2007,12,Willard Gibbs Award,435,Winners,2019,0,12,chemistry,Middle
294,2007,12,Fellow of the Royal Society,436,Winners,2019,0,12,general,Senior
295,1982,38,MacArthur Fellowship,437,Winners,2020,0,38,general,Young
296,2009,11,Fellow of the Royal Society,438,Winners,2020,0,11,general,Middle
297,2017,3,Fellow of the Royal Society,439,Winners,2020,0,3,general,Senior
298,2002,18,Fellow of the Royal Society,440,Winners,2020,0,18,general,Middle
299,1993,27,Fellow of the Royal Society,441,Winners,2020,0,27,general,Young
300,2008,12,MacArthur Fellowship,442,Winners,2020,0,12,general,NA
301,2001,19,Fellow of the Royal Society,443,Winners,2020,0,19,general,Middle
302,2011,8,Nobel Prize in Physiology or Medicine,444,Winners,2019,0,8,biology,Senior
303,1984,29,Shanti Swarup Bhatnagar Prize for Science and Technology,445,Winners,2013,1,29,general,Young
304,2004,16,Shanti Swarup Bhatnagar Prize for Science and Technology,446,Winners,2020,0,16,general,Young
305,2008,12,Fellow of the Royal Society,447,Winners,2020,0,12,general,Middle
306,2009,7,Fellow of the Royal Society,448,Winners,2016,1,7,general,Senior
307,1990,30,Shanti Swarup Bhatnagar Prize for Science and Technology,449,Winners,2020,0,30,general,Young
308,2016,4,SASTRA Ramanujan Prize,50,Winners,2020,0,4,mathematics,Young
309,1999,13,Shanti Swarup Bhatnagar Prize for Science and Technology,450,Winners,2012,1,13,general,Young
310,1997,18,Fellow of the Royal Society,451,Winners,2015,1,18,general,Middle
311,2005,14,Fellow of the Royal Society,452,Winners,2019,0,14,general,Senior
312,1978,40,Fields Medal,453,Winners,2018,0,40,mathematics,Young
313,2011,8,Nobel Prize in Physics,454,Winners,2019,0,8,physics,Middle
314,2015,5,Fellow of the Royal Society,455,Winners,2020,0,5,general,NA
315,2005,15,Shanti Swarup Bhatnagar Prize for Science and Technology,456,Winners,2020,0,15,general,Young
316,2009,11,Fellow of the Royal Society,457,Winners,2020,0,11,general,Middle
317,2006,12,MacArthur Fellowship,458,Winners,2018,0,12,general,Middle
318,2014,5,Wolf Prize in Mathematics,459,Winners,2019,0,5,mathematics,Senior
319,1966,52,Fields Medal,460,Winners,2018,0,52,mathematics,Young
320,2017,3,Fellow of the Royal Society,461,Winners,2020,0,3,general,Senior
321,2008,12,MacArthur Fellowship,462,Winners,2020,0,12,general,Young
322,2015,5,Wolf Prize in Medicine,463,Winners,2020,0,5,biology,Senior
323,1987,33,MacArthur Fellowship,464,Winners,2020,0,33,general,Young
324,1998,20,Fellow of the Royal Society,465,Winners,2018,0,20,general,Middle
325,1998,22,Fields Medal,466,Winners,2020,0,22,mathematics,Young
326,1996,14,Willard Gibbs Award,467,Winners,2010,1,14,chemistry,Senior
327,2012,7,Shanti Swarup Bhatnagar Prize for Science and Technology,468,Winners,2019,0,7,general,Young
328,1984,32,Wolf Prize in Medicine,469,Winners,2016,1,32,biology,Middle
329,2006,14,Shanti Swarup Bhatnagar Prize for Science and Technology,470,Winners,2020,0,14,general,Young
330,2007,12,Shanti Swarup Bhatnagar Prize for Science and Technology,471,Winners,2019,0,12,general,Young
331,1981,30,Fellow of the Royal Society,472,Winners,2011,1,30,general,Middle
332,1995,24,Shanti Swarup Bhatnagar Prize for Science and Technology,473,Winners,2019,0,24,general,Young
333,1998,7,Fellow of the Royal Society,474,Winners,2005,1,7,general,Young
334,2009,11,Fellow of the Royal Society,475,Winners,2020,0,11,general,NA
335,1971,39,Shanti Swarup Bhatnagar Prize for Science and Technology,476,Winners,2010,1,39,general,Young
336,2004,16,Fellow of the Royal Society,477,Winners,2020,0,16,general,Middle
337,1977,34,Fellow of the Royal Society,478,Winners,2011,1,34,general,Young
338,1936,53,Fields Medal,479,Winners,1989,1,53,mathematics,Young
339,1977,36,Max Planck Medal,480,Winners,2013,1,36,physics,Middle
340,2002,15,MacArthur Fellowship,481,Winners,2017,1,15,general,Young
341,2001,19,National Medal of Science,482,Winners,2020,0,19,general,Senior
342,2006,13,Fields Medal,483,Winners,2019,0,13,mathematics,Young
343,1980,29,Wolf Prize in Medicine,484,Winners,2009,1,29,biology,Middle
344,2009,11,MacArthur Fellowship,485,Winners,2020,0,11,general,Middle
345,2013,6,Fellow of the Royal Society,486,Winners,2019,0,6,general,Middle
346,1993,12,National Medal of Science,487,Winners,2005,1,12,general,Senior
347,1991,28,Fellow of the Royal Society,488,Winners,2019,0,28,general,Young
348,2003,17,Fellow of the Royal Society,489,Winners,2020,0,17,general,Senior
349,2016,4,Fellow of the Royal Society,490,Winners,2020,0,4,general,Senior
351,1998,21,Fellow of the Royal Society,492,Winners,2019,0,21,general,Middle
352,2010,10,Fellow of the Royal Society,493,Winners,2020,0,10,general,Middle
353,1990,27,National Medal of Science,494,Winners,2017,1,27,general,Middle
354,1947,21,Fellow of the Royal Society,495,Winners,1968,1,21,general,Middle
355,2001,19,Fellow of the Royal Society,496,Winners,2020,0,19,general,Middle
356,2012,6,Wolf Prize in Chemistry,497,Winners,2018,0,6,chemistry,Middle
357,1990,13,Turing Award,498,Winners,2003,1,13,cs,Senior
358,1969,19,Nobel Prize in Physiology or Medicine,499,Winners,1988,1,19,biology,Middle
359,1966,41,Fellow of the Royal Society,500,Winners,2007,1,41,general,Middle
360,1989,25,National Medal of Science,501,Winners,2014,1,25,general,Middle
361,1989,31,Shanti Swarup Bhatnagar Prize for Science and Technology,502,Winners,2020,0,31,general,Young
362,2003,16,Fellow of the Royal Society,503,Winners,2019,0,16,general,Senior
363,1993,6,Fellow of the Royal Society,504,Winners,1999,1,6,general,Middle
364,1984,30,Fellow of the Royal Society,505,Winners,2014,1,30,general,Young
365,1984,35,Nobel Prize in Physics,506,Winners,2019,0,35,physics,Middle
366,2015,4,MacArthur Fellowship,507,Winners,2019,0,4,general,Young
367,1989,27,Turing Award,508,Winners,2016,1,27,cs,Middle
368,2011,9,Fellow of the Royal Society,509,Winners,2020,0,9,general,Middle
369,1991,27,Fellow of the Royal Society,510,Winners,2018,0,27,general,Senior
370,1999,21,Fellow of the Royal Society,511,Winners,2020,0,21,general,Middle
371,2013,1,Fellow of the Royal Society,512,Winners,2014,1,1,general,Senior
372,2004,14,Max Planck Medal,513,Winners,2018,0,14,physics,Senior
373,2015,3,Wolf Prize in Physics,514,Winners,2018,0,3,physics,Senior
374,2003,5,Max Planck Medal,515,Winners,2008,1,5,physics,Senior
375,2018,2,Fellow of the Royal Society,516,Winners,2020,0,2,general,Middle
376,1999,20,MacArthur Fellowship,517,Winners,2019,0,20,general,Young
377,2002,17,Fellow of the Royal Society,518,Winners,2019,0,17,general,Middle
378,1990,29,Fellow of the Royal Society,519,Winners,2019,0,29,general,NA
379,1995,15,Fellow of the Royal Society,520,Winners,2010,1,15,general,Senior
380,1978,40,Shanti Swarup Bhatnagar Prize for Science and Technology,521,Winners,2018,0,40,general,Young
381,1986,34,Shanti Swarup Bhatnagar Prize for Science and Technology,522,Winners,2020,0,34,general,NA
382,1980,40,Fellow of the Royal Society,523,Winners,2020,0,40,general,Young
383,1989,31,Fellow of the Royal Society,524,Winners,2020,0,31,general,Young
384,1983,35,Fellow of the Royal Society,525,Winners,2018,0,35,general,Middle
385,1987,33,MacArthur Fellowship,526,Winners,2020,0,33,general,Young
