,awardYear,Persistence,awardLabel,PairID,class,lastPubYear,event,time,area,group
1326,1988,1,Nobel Prize in Physics,1445,Winners,1989,1,1,physics,Middle
1327,2007,13,Fellow of the Royal Society,1446,Winners,2020,0,13,general,Middle
1328,1999,21,MacArthur Fellowship,73,Winners,2020,0,21,general,Young
1329,1980,21,Fellow of the Royal Society,1447,Winners,2001,1,21,general,Middle
1330,1986,24,Fellow of the Royal Society,1448,Winners,2010,1,24,general,Middle
1331,2009,11,Shanti Swarup Bhatnagar Prize for Science and Technology,1449,Winners,2020,0,11,general,NA
1332,1965,10,Shanti Swarup Bhatnagar Prize for Science and Technology,1450,Winners,1975,1,10,general,Young
1333,1972,36,Fellow of the Royal Society,1451,Winners,2008,1,36,general,Young
1335,1997,8,National Medal of Science,1453,Winners,2005,1,8,general,Senior
1340,1962,46,Fields Medal,74,Winners,2008,1,46,mathematics,Young
1341,1979,37,Nobel Prize in Physics,1458,Winners,2016,1,37,physics,Middle
1342,1941,70,Fellow of the Royal Society,1459,Winners,2011,1,70,general,Young
1343,1986,24,Lasker-DeBakey Clinical Medical Research Award,1460,Winners,2010,1,24,biology,Middle
1345,2009,10,MacArthur Fellowship,75,Winners,2019,0,10,general,Middle
1346,1994,23,Nobel Prize in Chemistry,1462,Winners,2017,1,23,chemistry,Senior
1347,1994,5,National Medal of Science,1463,Winners,1999,1,5,general,Senior
1348,1971,32,Willard Gibbs Award,1464,Winners,2003,1,32,chemistry,Middle
1349,1974,25,Fellow of the Royal Society,1465,Winners,1999,1,25,general,Middle
1350,1980,39,Shanti Swarup Bhatnagar Prize for Science and Technology,1466,Winners,2019,0,39,general,Young
1351,2001,15,Fellow of the Royal Society,76,Winners,2016,1,15,general,Middle
1352,2003,17,National Medal of Science,77,Winners,2020,0,17,general,Senior
1353,2001,19,MacArthur Fellowship,78,Winners,2020,0,19,general,NA
1354,2006,13,Wolf Prize in Chemistry,79,Winners,2019,0,13,chemistry,Senior
1355,1989,31,Nobel Prize in Chemistry,80,Winners,2020,0,31,chemistry,Young
1356,2007,13,MacArthur Fellowship,81,Winners,2020,0,13,general,Middle
1357,1955,54,Nobel Prize in Chemistry,82,Winners,2009,1,54,chemistry,Middle
1358,1998,21,MacArthur Fellowship,83,Winners,2019,0,21,general,Young
1359,1993,26,MacArthur Fellowship,84,Winners,2019,0,26,general,Middle
1360,2014,6,Breakthrough Prize in Life Sciences,85,Winners,2020,0,6,biology,Senior
1361,2013,7,Nobel Prize in Physiology or Medicine,86,Winners,2020,0,7,biology,Middle
1362,2014,6,Nobel Prize in Chemistry,87,Winners,2020,0,6,chemistry,Middle
1363,1998,22,Fellow of the Royal Society,88,Winners,2020,0,22,general,Middle
1364,1992,25,Fellow of the Royal Society,89,Winners,2017,1,25,general,Senior
1365,1993,26,Wolf Prize in Chemistry,90,Winners,2019,0,26,chemistry,Middle
1366,1987,32,Wolf Prize in Medicine,6,Winners,2019,0,32,biology,Middle
1367,2015,3,Marconi Prize,91,Winners,2018,0,3,cs,Senior
1368,1987,32,Fellow of the Royal Society,92,Winners,2019,0,32,general,Young
1369,1990,18,Wolf Prize in Physics,93,Winners,2008,1,18,physics,Middle
1370,2014,6,Fellow of the Royal Society,94,Winners,2020,0,6,general,Middle
1371,2005,15,Fellow of the Royal Society,95,Winners,2020,0,15,general,Middle
1372,2016,4,Fellow of the Royal Society,96,Winners,2020,0,4,general,Middle
1373,2012,8,National Medal of Science,97,Winners,2020,0,8,general,Senior
1374,1983,28,Fellow of the Royal Society,98,Winners,2011,1,28,general,Young
1375,1986,28,Fellow of the Royal Society,99,Winners,2014,1,28,general,Young
1376,1996,22,Nobel Prize in Physiology or Medicine,100,Winners,2018,0,22,biology,Middle
1377,1999,21,Fellow of the Royal Society,101,Winners,2020,0,21,general,Middle
1378,2014,5,Fields Medal,102,Winners,2019,0,5,mathematics,Young
1379,1955,37,Lasker-DeBakey Clinical Medical Research Award,103,Winners,1992,1,37,biology,Young
1380,1997,22,Nobel Prize in Physics,7,Winners,2019,0,22,physics,Senior
1381,1999,21,MacArthur Fellowship,104,Winners,2020,0,21,general,Young
1382,2008,12,Shanti Swarup Bhatnagar Prize for Science and Technology,105,Winners,2020,0,12,general,Young
1383,2003,17,MacArthur Fellowship,106,Winners,2020,0,17,general,Young
1384,2008,12,Wolf Prize in Chemistry,107,Winners,2020,0,12,chemistry,Middle
1385,2001,18,Shanti Swarup Bhatnagar Prize for Science and Technology,108,Winners,2019,0,18,general,Young
1386,1983,37,National Medal of Science,109,Winners,2020,0,37,general,Young
1387,2003,17,MacArthur Fellowship,8,Winners,2020,0,17,general,Young
1388,1993,24,Fellow of the Royal Society,110,Winners,2017,1,24,general,Young
1389,2006,14,Fields Medal,111,Winners,2020,0,14,mathematics,Young
1390,1989,13,National Medal of Science,112,Winners,2002,1,13,general,Senior
1391,2005,14,Shanti Swarup Bhatnagar Prize for Science and Technology,113,Winners,2019,0,14,general,Young
1392,2008,12,MacArthur Fellowship,9,Winners,2020,0,12,general,Young
1393,2007,13,Fellow of the Royal Society,114,Winners,2020,0,13,general,Middle
1394,1986,34,Shanti Swarup Bhatnagar Prize for Science and Technology,115,Winners,2020,0,34,general,Young
1395,2010,9,Shanti Swarup Bhatnagar Prize for Science and Technology,116,Winners,2019,0,9,general,Young
1396,1983,37,MacArthur Fellowship,117,Winners,2020,0,37,general,Young
1397,1997,23,Fellow of the Royal Society,118,Winners,2020,0,23,general,Middle
1398,2002,17,Nobel Prize in Physiology or Medicine,119,Winners,2019,0,17,biology,Middle
1399,2009,11,Shanti Swarup Bhatnagar Prize for Science and Technology,10,Winners,2020,0,11,general,NA
1400,2006,14,Fellow of the Royal Society,11,Winners,2020,0,14,general,Middle
1401,1983,19,MacArthur Fellowship,120,Winners,2002,1,19,general,Young
1402,2015,5,Fellow of the Royal Society,12,Winners,2020,0,5,general,Senior
1403,2018,2,Breakthrough Prize in Mathematics,13,Winners,2020,0,2,mathematics,Middle
1404,1995,8,Fellow of the Royal Society,121,Winners,2003,1,8,general,Middle
1405,2010,10,MacArthur Fellowship,122,Winners,2020,0,10,general,Young
1406,2015,5,Nobel Prize in Chemistry,123,Winners,2020,0,5,chemistry,Senior
1407,2012,8,Wolf Prize in Mathematics,124,Winners,2020,0,8,mathematics,Senior
1408,2005,11,Turing Award,125,Winners,2016,1,11,cs,Senior
1409,2005,14,Wolf Prize in Medicine,126,Winners,2019,0,14,biology,Senior
1410,1954,52,Fellow of the Royal Society,14,Winners,2006,1,52,general,Middle
1411,1980,38,Fellow of the Royal Society,127,Winners,2018,0,38,general,Middle
1412,2001,19,Fellow of the Royal Society,128,Winners,2020,0,19,general,Middle
1413,2015,4,SASTRA Ramanujan Prize,15,Winners,2019,0,4,mathematics,Young
1414,1995,24,MacArthur Fellowship,129,Winners,2019,0,24,general,Young
1415,2005,14,National Medal of Science,130,Winners,2019,0,14,general,Senior
1416,2010,10,Willard Gibbs Award,131,Winners,2020,0,10,chemistry,Senior
1417,1989,19,National Medal of Science,132,Winners,2008,1,19,general,Senior
1418,1999,13,Fellow of the Royal Society,133,Winners,2012,1,13,general,Senior
1419,1992,28,MacArthur Fellowship,134,Winners,2020,0,28,general,Middle
1420,1983,34,Fellow of the Royal Society,135,Winners,2017,1,34,general,Young
1421,2004,16,MacArthur Fellowship,136,Winners,2020,0,16,general,Young
1422,2016,4,Fellow of the Royal Society,137,Winners,2020,0,4,general,NA
1423,1994,25,Fields Medal,138,Winners,2019,0,25,mathematics,Young
1424,2007,13,Hughes Medal,139,Winners,2020,0,13,physics,Middle
1425,2005,14,Nobel Prize in Chemistry,140,Winners,2019,0,14,chemistry,Middle
1426,2002,15,Fellow of the Royal Society,141,Winners,2017,1,15,general,Senior
1427,2006,14,Nobel Prize in Physiology or Medicine,142,Winners,2020,0,14,biology,Middle
1428,1993,22,Fellow of the Royal Society,143,Winners,2015,1,22,general,Middle
1429,1966,47,Fellow of the Royal Society,144,Winners,2013,1,47,general,Young
1430,1990,29,MacArthur Fellowship,145,Winners,2019,0,29,general,Young
1431,2005,14,MacArthur Fellowship,146,Winners,2019,0,14,general,Young
1432,2007,13,Fellow of the Royal Society,147,Winners,2020,0,13,general,Middle
1433,1981,35,MacArthur Fellowship,148,Winners,2016,1,35,general,Middle
1434,2008,12,Fellow of the Royal Society,149,Winners,2020,0,12,general,NA
1435,1991,28,Shanti Swarup Bhatnagar Prize for Science and Technology,150,Winners,2019,0,28,general,Young
1436,1987,32,MacArthur Fellowship,151,Winners,2019,0,32,general,Young
1437,1963,57,Lasker-DeBakey Clinical Medical Research Award,152,Winners,2020,0,57,biology,Middle
1438,2000,19,MacArthur Fellowship,153,Winners,2019,0,19,general,Middle
1439,1985,18,Willard Gibbs Award,154,Winners,2003,1,18,chemistry,Senior
1440,2002,17,Wolf Prize in Medicine,1,Winners,2019,0,17,biology,Senior
1441,1989,31,Nobel Prize in Physiology or Medicine,155,Winners,2020,0,31,biology,Middle
1442,1990,28,MacArthur Fellowship,156,Winners,2018,0,28,general,Middle
1443,1995,25,Nobel Prize in Physiology or Medicine,157,Winners,2020,0,25,biology,Middle
1444,1990,25,Fellow of the Royal Society,158,Winners,2015,1,25,general,Middle
1445,2017,1,Nobel Prize in Chemistry,159,Winners,2018,0,1,chemistry,Senior
1446,1986,26,Nobel Prize in Physiology or Medicine,160,Winners,2012,1,26,biology,Senior
1447,1991,28,Nobel Prize in Physiology or Medicine,161,Winners,2019,0,28,biology,Middle
1448,1974,23,National Medal of Science,162,Winners,1997,1,23,general,Senior
1449,2008,12,Fellow of the Royal Society,163,Winners,2020,0,12,general,NA
1450,2001,19,MacArthur Fellowship,164,Winners,2020,0,19,general,Young
1451,1992,20,MacArthur Fellowship,165,Winners,2012,1,20,general,Senior
1452,1984,35,MacArthur Fellowship,166,Winners,2019,0,35,general,Middle
1453,2012,8,Nobel Prize in Chemistry,167,Winners,2020,0,8,chemistry,Middle
1454,2009,11,Lasker-DeBakey Clinical Medical Research Award,168,Winners,2020,0,11,biology,Middle
1455,1975,40,Fellow of the Royal Society,169,Winners,2015,1,40,general,Middle
1456,2008,11,Wolf Prize in Medicine,16,Winners,2019,0,11,biology,Senior
1457,1984,32,MacArthur Fellowship,17,Winners,2016,1,32,general,Middle
1458,2004,16,National Medal of Science,18,Winners,2020,0,16,general,Senior
1459,2011,9,Fellow of the Royal Society,19,Winners,2020,0,9,general,NA
1460,1984,36,Fellow of the Royal Society,20,Winners,2020,0,36,general,Young
1461,1944,20,Nobel Prize in Physiology or Medicine,2,Winners,1964,1,20,biology,Senior
1462,2001,19,MacArthur Fellowship,170,Winners,2020,0,19,general,NA
1464,2001,17,Nobel Prize in Chemistry,21,Winners,2018,0,17,chemistry,Senior
1465,1998,22,National Medal of Science,22,Winners,2020,0,22,general,Senior
1466,2016,4,Wolf Prize in Physics,23,Winners,2020,0,4,physics,Senior
1467,2002,8,Lasker-DeBakey Clinical Medical Research Award,413,Contenders,2010,1,8,biology,Senior
1468,2001,19,MacArthur Fellowship,1119,Contenders,2020,0,19,general,Young
1469,2007,12,Fellow of the Royal Society,927,Contenders,2019,0,12,general,Middle
1470,1999,21,Fellow of the Royal Society,1049,Contenders,2020,0,21,general,Middle
1471,2017,3,Breakthrough Prize in Life Sciences,37,Contenders,2020,0,3,biology,Senior
1472,1988,32,MacArthur Fellowship,1404,Contenders,2020,0,32,general,Middle
1473,2015,5,Fellow of the Royal Society,455,Contenders,2020,0,5,general,NA
1474,2006,14,Nobel Prize in Physiology or Medicine,142,Contenders,2020,0,14,biology,Middle
1475,2006,14,Fellow of the Royal Society,599,Contenders,2020,0,14,general,Young
1476,1986,21,MacArthur Fellowship,357,Contenders,2007,1,21,general,Young
1477,2015,5,Breakthrough Prize in Life Sciences,34,Contenders,2020,0,5,biology,Middle
1478,2014,5,Nobel Prize in Physiology or Medicine,905,Contenders,2019,0,5,biology,Senior
1479,1994,23,Nobel Prize in Physiology or Medicine,1344,Contenders,2017,1,23,biology,Middle
1480,1999,20,Fellow of the Royal Society,254,Contenders,2019,0,20,general,Young
1481,2016,3,Fellow of the Royal Society,549,Contenders,2019,0,3,general,Senior
1482,1966,2,Lasker-DeBakey Clinical Medical Research Award,982,Contenders,1968,1,2,biology,Senior
1484,2013,7,Fellow of the Royal Society,645,Contenders,2020,0,7,general,Middle
1485,2009,11,Lasker-DeBakey Clinical Medical Research Award,168,Contenders,2020,0,11,biology,Middle
1486,1984,28,Wolf Prize in Medicine,469,Contenders,2012,1,28,biology,Middle
1487,1998,20,MacArthur Fellowship,304,Contenders,2018,0,20,general,NA
1488,2004,16,Fellow of the Royal Society,1011,Contenders,2020,0,16,general,Middle
1489,2013,7,Fellow of the Royal Society,645,Contenders,2020,0,7,general,Middle
1490,2003,15,Lasker-DeBakey Clinical Medical Research Award,604,Contenders,2018,0,15,biology,Senior
1491,1971,24,Shanti Swarup Bhatnagar Prize for Science and Technology,476,Contenders,1995,1,24,general,Young
1492,2006,14,Shanti Swarup Bhatnagar Prize for Science and Technology,470,Contenders,2020,0,14,general,Young
1493,2005,15,Nobel Prize in Physics,1278,Contenders,2020,0,15,physics,Senior
1494,1983,14,Fellow of the Royal Society,1214,Contenders,1997,1,14,general,Young
1495,1958,3,Fellow of the Royal Society,1399,Contenders,1961,1,3,general,Young
1496,1992,25,Fellow of the Royal Society,1070,Contenders,2017,1,25,general,Senior
1497,2006,10,Shanti Swarup Bhatnagar Prize for Science and Technology,554,Contenders,2016,1,10,general,Young
1498,2008,12,Wolf Prize in Chemistry,107,Contenders,2020,0,12,chemistry,Middle
1499,1992,28,MacArthur Fellowship,929,Contenders,2020,0,28,general,Young
1500,2008,12,Fellow of the Royal Society,560,Contenders,2020,0,12,general,Middle
1501,2004,15,Shanti Swarup Bhatnagar Prize for Science and Technology,956,Contenders,2019,0,15,general,Young
1502,2006,14,Fellow of the Royal Society,1060,Contenders,2020,0,14,general,Senior
1503,2004,16,Fellow of the Royal Society,1110,Contenders,2020,0,16,general,Senior
1504,1992,8,Shanti Swarup Bhatnagar Prize for Science and Technology,1050,Contenders,2000,1,8,general,Young
1505,2000,20,Fellow of the Royal Society,726,Contenders,2020,0,20,general,Young
1506,1931,37,Nobel Prize in Physiology or Medicine,210,Contenders,1968,1,37,biology,Middle
1507,2002,16,MacArthur Fellowship,574,Contenders,2018,0,16,general,Young
1508,2008,12,Shanti Swarup Bhatnagar Prize for Science and Technology,567,Contenders,2020,0,12,general,Young
1509,2007,13,Fellow of the Royal Society,712,Contenders,2020,0,13,general,Senior
1510,1996,24,Fellow of the Royal Society,1193,Contenders,2020,0,24,general,Senior
1511,2016,4,Fellow of the Royal Society,1076,Contenders,2020,0,4,general,Senior
1512,2003,16,MacArthur Fellowship,8,Contenders,2019,0,16,general,Young
1513,1985,35,Fellow of the Royal Society,849,Contenders,2020,0,35,general,Middle
1514,2009,11,MacArthur Fellowship,1108,Contenders,2020,0,11,general,Young
1515,1988,15,MacArthur Fellowship,1404,Contenders,2003,1,15,general,Middle
1517,1999,20,Fellow of the Royal Society,101,Contenders,2019,0,20,general,Middle
1518,2001,6,Wolf Prize in Medicine,793,Contenders,2007,1,6,biology,Middle
1519,2006,14,Fields Medal,948,Contenders,2020,0,14,mathematics,Young
1520,1982,32,Fellow of the Royal Society,703,Contenders,2014,1,32,general,Middle
1521,2007,10,Fellow of the Royal Society,550,Contenders,2017,1,10,general,NA
1522,1993,27,Fellow of the Royal Society,833,Contenders,2020,0,27,general,Middle
1523,1977,41,Fellow of the Royal Society,478,Contenders,2018,0,41,general,Young
1524,1989,26,Nobel Prize in Chemistry,80,Contenders,2015,1,26,chemistry,Young
1525,1954,26,Nobel Prize in Physiology or Medicine,1430,Contenders,1980,1,26,biology,Young
1526,2017,3,Fellow of the Royal Society,461,Contenders,2020,0,3,general,Senior
1527,2002,18,Fellow of the Royal Society,1152,Contenders,2020,0,18,general,Middle
1528,2014,5,MacArthur Fellowship,1231,Contenders,2019,0,5,general,Young
1529,1992,6,Shanti Swarup Bhatnagar Prize for Science and Technology,177,Contenders,1998,1,6,general,Young
1530,2015,5,Breakthrough Prize in Life Sciences,179,Contenders,2020,0,5,biology,Young
1531,2004,15,Fellow of the Royal Society,1219,Contenders,2019,0,15,general,Middle
1532,2016,4,Fellow of the Royal Society,415,Contenders,2020,0,4,general,Senior
1533,1970,18,Fellow of the Royal Society,995,Contenders,1988,1,18,general,Senior
1535,2017,3,Fellow of the Royal Society,576,Contenders,2020,0,3,general,NA
1536,2017,3,Fellow of the Royal Society,537,Contenders,2020,0,3,general,Senior
1537,2016,4,Fellow of the Royal Society,268,Contenders,2020,0,4,general,Middle
1538,2008,10,Nobel Prize in Physiology or Medicine,24,Contenders,2018,0,10,biology,Senior
1539,1982,21,MacArthur Fellowship,1384,Contenders,2003,1,21,general,Young
1540,2009,10,Shanti Swarup Bhatnagar Prize for Science and Technology,175,Contenders,2019,0,10,general,Young
1541,1973,8,National Medal of Science,1376,Contenders,1981,1,8,general,Senior
1542,2008,12,Fellow of the Royal Society,219,Contenders,2020,0,12,general,Young
1543,2017,3,Breakthrough Prize in Life Sciences,68,Contenders,2020,0,3,biology,Senior
1544,1991,29,Fellow of the Royal Society,488,Contenders,2020,0,29,general,Young
1545,1965,10,Nobel Prize in Physiology or Medicine,303,Contenders,1975,1,10,biology,Middle
1546,2004,16,Shanti Swarup Bhatnagar Prize for Science and Technology,1291,Contenders,2020,0,16,general,Young
1547,2014,6,Fields Medal,605,Contenders,2020,0,6,mathematics,Young
1548,2009,11,Fellow of the Royal Society,398,Contenders,2020,0,11,general,Middle
1549,1998,18,Fellow of the Royal Society,1314,Contenders,2016,1,18,general,Senior
1550,2003,9,National Medal of Science,203,Contenders,2012,1,9,general,Senior
1551,1985,31,Fellow of the Royal Society,1087,Contenders,2016,1,31,general,Middle
1552,1992,17,MacArthur Fellowship,1092,Contenders,2009,1,17,general,Middle
1553,2005,15,MacArthur Fellowship,671,Contenders,2020,0,15,general,Young
1554,1993,17,Willard Gibbs Award,189,Contenders,2010,1,17,chemistry,Middle
1555,1997,22,Fellow of the Royal Society,729,Contenders,2019,0,22,general,Middle
1556,2008,12,Nobel Prize in Physiology or Medicine,397,Contenders,2020,0,12,biology,Senior
1557,2015,5,Fellow of the Royal Society,1290,Contenders,2020,0,5,general,NA
1558,2007,12,Shanti Swarup Bhatnagar Prize for Science and Technology,1032,Contenders,2019,0,12,general,NA
1560,1997,23,Nobel Prize in Physics,903,Contenders,2020,0,23,physics,Middle
1561,1999,21,MacArthur Fellowship,73,Contenders,2020,0,21,general,Young
1562,2001,19,MacArthur Fellowship,78,Contenders,2020,0,19,general,NA
1563,2017,3,Breakthrough Prize in Life Sciences,63,Contenders,2020,0,3,biology,Senior
1564,1995,1,Fellow of the Royal Society,1176,Contenders,1996,1,1,general,Senior
1565,2018,2,Fellow of the Royal Society,607,Contenders,2020,0,2,general,Senior
1566,2016,4,Wolf Prize in Medicine,978,Contenders,2020,0,4,biology,Senior
1567,1983,36,Fellow of the Royal Society,370,Contenders,2019,0,36,general,Young
1568,1989,30,Fellow of the Royal Society,399,Contenders,2019,0,30,general,Young
1569,2012,8,Shanti Swarup Bhatnagar Prize for Science and Technology,1013,Contenders,2020,0,8,general,Senior
1570,2001,9,Shanti Swarup Bhatnagar Prize for Science and Technology,1304,Contenders,2010,1,9,general,Young
1571,1973,5,National Medal of Science,1073,Contenders,1978,1,5,general,Senior
1572,1983,21,MacArthur Fellowship,39,Contenders,2004,1,21,general,Young
1573,2005,14,Shanti Swarup Bhatnagar Prize for Science and Technology,1246,Contenders,2019,0,14,general,NA
1574,2015,5,SASTRA Ramanujan Prize,15,Contenders,2020,0,5,mathematics,Young
1575,2013,7,Fellow of the Royal Society,645,Contenders,2020,0,7,general,Middle
1576,1990,30,Fellow of the Royal Society,158,Contenders,2020,0,30,general,Middle
1577,1992,28,MacArthur Fellowship,35,Contenders,2020,0,28,general,Middle
1578,2009,10,Fellow of the Royal Society,1048,Contenders,2019,0,10,general,Middle
1579,2002,17,Shanti Swarup Bhatnagar Prize for Science and Technology,869,Contenders,2019,0,17,general,Young
1580,2000,20,Fellow of the Royal Society,270,Contenders,2020,0,20,general,Senior
1581,2001,18,Fellow of the Royal Society,1302,Contenders,2019,0,18,general,Middle
1582,2017,3,Breakthrough Prize in Life Sciences,374,Contenders,2020,0,3,biology,Senior
1583,2010,9,Fellow of the Royal Society,272,Contenders,2019,0,9,general,Middle
1584,2009,11,Fellow of the Royal Society,57,Contenders,2020,0,11,general,Young
1586,2009,11,Fellow of the Royal Society,398,Contenders,2020,0,11,general,Middle
1587,2018,2,Wolf Prize in Chemistry,764,Contenders,2020,0,2,chemistry,Senior
1588,1986,7,Max Planck Medal,250,Contenders,1993,1,7,physics,Middle
1589,2013,4,SASTRA Ramanujan Prize,829,Contenders,2017,1,4,mathematics,Young
1590,2012,8,Fellow of the Royal Society,783,Contenders,2020,0,8,general,Middle
1591,1998,21,Fellow of the Royal Society,612,Contenders,2019,0,21,general,Young
1592,2010,8,MacArthur Fellowship,1421,Contenders,2018,0,8,general,Young
1594,2003,7,MacArthur Fellowship,1362,Contenders,2010,1,7,general,Young
1596,2011,9,Fellow of the Royal Society,1022,Contenders,2020,0,9,general,NA
1597,2016,4,Fellow of the Royal Society,803,Contenders,2020,0,4,general,NA
1598,2008,11,MacArthur Fellowship,743,Contenders,2019,0,11,general,Young
1599,2001,19,Fellow of the Royal Society,986,Contenders,2020,0,19,general,Middle
1600,1983,28,Wolf Prize in Chemistry,1352,Contenders,2011,1,28,chemistry,Middle
1601,2000,6,Shanti Swarup Bhatnagar Prize for Science and Technology,767,Contenders,2006,1,6,general,Young
1602,1982,28,Nobel Prize in Physiology or Medicine,197,Contenders,2010,1,28,biology,Middle
1603,2014,6,Fields Medal,605,Contenders,2020,0,6,mathematics,Young
1604,2003,15,Fellow of the Royal Society,842,Contenders,2018,0,15,general,Middle
1605,2013,5,Nobel Prize in Physiology or Medicine,284,Contenders,2018,0,5,biology,Senior
1606,2006,14,Shanti Swarup Bhatnagar Prize for Science and Technology,895,Contenders,2020,0,14,general,NA
1607,2014,6,Breakthrough Prize in Life Sciences,1004,Contenders,2020,0,6,biology,Senior
1608,2014,6,Willard Gibbs Award,195,Contenders,2020,0,6,chemistry,Senior
1609,2006,14,National Medal of Science,665,Contenders,2020,0,14,general,Senior
1610,1991,23,MacArthur Fellowship,724,Contenders,2014,1,23,general,Young
1612,1993,26,Wolf Prize in Mathematics,401,Contenders,2019,0,26,mathematics,Middle
1613,2016,2,Wolf Prize in Medicine,978,Contenders,2018,0,2,biology,Senior
1614,1984,19,Nobel Prize in Physics,666,Contenders,2003,1,19,physics,Middle
1615,1989,30,Nobel Prize in Physiology or Medicine,155,Contenders,2019,0,30,biology,Middle
1616,2002,18,MacArthur Fellowship,28,Contenders,2020,0,18,general,Young
1617,1973,47,Shanti Swarup Bhatnagar Prize for Science and Technology,1192,Contenders,2020,0,47,general,Young
1618,2004,16,Fellow of the Royal Society,368,Contenders,2020,0,16,general,Middle
1619,1980,36,Fellow of the Royal Society,127,Contenders,2016,1,36,general,Middle
1620,2009,10,Fellow of the Royal Society,539,Contenders,2019,0,10,general,NA
1621,1977,29,Shanti Swarup Bhatnagar Prize for Science and Technology,851,Contenders,2006,1,29,general,Young
1622,2014,6,Nobel Prize in Physiology or Medicine,1045,Contenders,2020,0,6,biology,Middle
1623,1997,22,MacArthur Fellowship,600,Contenders,2019,0,22,general,Young
1624,2000,20,Shanti Swarup Bhatnagar Prize for Science and Technology,418,Contenders,2020,0,20,general,NA
1625,2013,6,Fellow of the Royal Society,336,Contenders,2019,0,6,general,Middle
1626,2000,17,Fellow of the Royal Society,1281,Contenders,2017,1,17,general,Senior
1627,2014,4,Wolf Prize in Mathematics,459,Contenders,2018,0,4,mathematics,Senior
1628,2015,4,Vautrin Lud Prize,295,Contenders,2019,0,4,geography,Senior
1629,2007,9,Fellow of the Royal Society,550,Contenders,2016,1,9,general,NA
1630,2015,4,Max Planck Medal,287,Contenders,2019,0,4,physics,Middle
1631,2007,13,Fellow of the Royal Society,147,Contenders,2020,0,13,general,Middle
1632,1997,18,Fellow of the Royal Society,1006,Contenders,2015,1,18,general,Middle
1633,1947,32,Fellow of the Royal Society,495,Contenders,1979,1,32,general,Middle
1634,1982,37,MacArthur Fellowship,1330,Contenders,2019,0,37,general,Young
1635,2004,12,Shanti Swarup Bhatnagar Prize for Science and Technology,1291,Contenders,2016,1,12,general,Young
1636,1979,40,Fellow of the Royal Society,615,Contenders,2019,0,40,general,Young
1637,2004,2,Nobel Prize in Chemistry,1341,Contenders,2006,1,2,chemistry,Senior
1638,2015,3,Nobel Prize in Chemistry,123,Contenders,2018,0,3,chemistry,Senior
1639,2005,7,Wolf Prize in Medicine,126,Contenders,2012,1,7,biology,Senior
1640,1995,12,MacArthur Fellowship,129,Contenders,2007,1,12,general,Young
1641,2007,13,Fellow of the Royal Society,968,Contenders,2020,0,13,general,Senior
1642,1981,29,Nobel Prize in Chemistry,593,Contenders,2010,1,29,chemistry,Senior
1643,2008,12,MacArthur Fellowship,743,Contenders,2020,0,12,general,Young
1644,2001,1,Wolf Prize in Medicine,251,Contenders,2002,1,1,biology,Senior
1645,2005,15,Fellow of the Royal Society,334,Contenders,2020,0,15,general,Middle
1646,2009,11,National Medal of Science,928,Contenders,2020,0,11,general,Middle
1647,2000,17,Nobel Prize in Chemistry,579,Contenders,2017,1,17,chemistry,Senior
1648,2018,1,Fellow of the Royal Society,607,Contenders,2019,0,1,general,Senior
1649,2009,10,Nobel Prize in Physics,1197,Contenders,2019,0,10,physics,Senior
1650,1993,23,Fellow of the Royal Society,996,Contenders,2016,1,23,general,Young
1651,2014,5,Shanti Swarup Bhatnagar Prize for Science and Technology,1098,Contenders,2019,0,5,general,Young
1652,1972,12,Nobel Prize in Physics,811,Contenders,1984,1,12,physics,Young
1653,1944,17,Fellow of the Royal Society,669,Contenders,1961,1,17,general,Middle
1654,1993,27,Fellow of the Royal Society,1016,Contenders,2020,0,27,general,Middle
1655,1983,25,MacArthur Fellowship,885,Contenders,2008,1,25,general,Young
1656,1995,13,National Medal of Science,1211,Contenders,2008,1,13,general,Middle
1657,2016,4,Fellow of the Royal Society,96,Contenders,2020,0,4,general,Middle
1658,2014,5,Willard Gibbs Award,195,Contenders,2019,0,5,chemistry,Senior
1659,2001,18,Fellow of the Royal Society,76,Contenders,2019,0,18,general,Middle
1660,1990,30,Fellow of the Royal Society,519,Contenders,2020,0,30,general,NA
1661,2000,20,MacArthur Fellowship,278,Contenders,2020,0,20,general,Young
1662,2009,10,Fellow of the Royal Society,57,Contenders,2019,0,10,general,Young
1663,1983,12,MacArthur Fellowship,871,Contenders,1995,1,12,general,Middle
1664,1986,31,Fellow of the Royal Society,414,Contenders,2017,1,31,general,Young
1665,1998,19,Fellow of the Royal Society,88,Contenders,2017,1,19,general,Middle
1666,1987,33,Shanti Swarup Bhatnagar Prize for Science and Technology,721,Contenders,2020,0,33,general,Young
1667,2001,16,Nobel Prize in Physics,323,Contenders,2017,1,16,physics,Middle
1668,2000,19,Shanti Swarup Bhatnagar Prize for Science and Technology,714,Contenders,2019,0,19,general,NA
1669,1979,32,Fellow of the Royal Society,1037,Contenders,2011,1,32,general,Young
1670,1967,10,Fellow of the Royal Society,1423,Contenders,1977,1,10,general,Young
1671,1982,32,Fellow of the Royal Society,703,Contenders,2014,1,32,general,Middle
1672,2014,6,Nobel Prize in Physics,921,Contenders,2020,0,6,physics,Middle
1673,1996,19,Fellow of the Royal Society,538,Contenders,2015,1,19,general,Middle
1674,1996,17,Fellow of the Royal Society,229,Contenders,2013,1,17,general,Young
